,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,liked/disliked
55,0.522,0.421,0.0,-7.976,1.0,0.0275,0.73,8.16e-05,0.19,0.203,107.926,4.0,1
56,0.393,0.609,4.0,-5.954,1.0,0.0415,0.0558,2.22e-06,0.107,0.347,71.377,4.0,1
57,0.776,0.78,10.0,-4.374,0.0,0.128,0.0622,0.0,0.081,0.666,124.949,4.0,1
58,0.762,0.391,1.0,-11.735,1.0,0.0337,0.867,0.000521,0.112,0.355,137.956,3.0,1
59,0.558,0.218,11.0,-9.23,1.0,0.0377,0.932,0.00477,0.102,0.302,143.866,3.0,1
60,0.589,0.885,4.0,-3.4,1.0,0.035,0.545,0.0,0.132,0.831,91.01,4.0,1
61,0.611,0.602,5.0,-4.89,1.0,0.0437,0.000837,0.0,0.112,0.624,168.154,4.0,1
62,0.578,0.798,7.0,-6.01,1.0,0.0699,0.58,0.0,0.111,0.728,91.96,4.0,1
63,0.426,0.284,2.0,-15.492,1.0,0.0616,0.406,0.00335,0.362,0.311,112.039,4.0,1
64,0.349,0.446,1.0,-11.327,1.0,0.0522,0.827,0.00722,0.0808,0.141,79.338,4.0,1
65,0.528,0.435,5.0,-9.699,1.0,0.0347,0.705,2.98e-05,0.103,0.293,172.115,4.0,1
66,0.392,0.256,0.0,-13.147,1.0,0.0369,0.728,9.46e-05,0.0462,0.154,67.609,4.0,1
67,0.475,0.124,2.0,-9.463,1.0,0.0444,0.926,0.0,0.0972,0.19,94.42,4.0,1
68,0.717,0.73,9.0,-4.729,0.0,0.0568,0.383,0.0,0.398,0.792,102.002,4.0,1
69,0.556,0.552,4.0,-5.875,1.0,0.0373,0.531,0.0,0.121,0.531,100.051,4.0,1
70,0.662,0.661,0.0,-5.689,1.0,0.0514,0.417,0.0,0.0784,0.222,80.009,4.0,1
71,0.647,0.823,2.0,-5.231,1.0,0.0762,0.0598,0.0,0.119,0.396,99.933,4.0,1
72,0.705,0.412,1.0,-9.203,1.0,0.175,0.416,0.0,0.105,0.307,84.904,4.0,1
73,0.379,0.143,4.0,-14.9,0.0,0.029,0.623,0.00047,0.112,0.0394,146.244,4.0,1
74,0.584,0.54,1.0,-7.786,0.0,0.0576,0.0895,0.0,0.261,0.195,137.972,4.0,1
75,0.776,0.795,0.0,-5.454,1.0,0.0485,0.121,0.0,0.138,0.569,117.989,4.0,1
76,0.627,0.668,9.0,-10.134,0.0,0.0373,0.564,0.0,0.0617,0.732,108.042,4.0,1
77,0.69,0.622,5.0,-5.025,0.0,0.0622,0.253,0.0,0.116,0.544,102.04,4.0,1
78,0.509,0.781,8.0,-3.48,1.0,0.072,0.0398,0.0,0.0749,0.176,128.0,4.0,1
79,0.724,0.804,11.0,-4.614,0.0,0.0448,0.124,0.0,0.204,0.306,124.987,4.0,1
80,0.59,0.568,0.0,-10.416,0.0,0.0325,0.471,0.0,0.118,0.407,142.495,3.0,1
81,0.562,0.519,3.0,-8.744,1.0,0.0326,0.557,0.000268,0.172,0.415,122.925,4.0,1
82,0.855,0.553,11.0,-6.52,1.0,0.0331,0.19,5.19e-06,0.0942,0.874,124.922,4.0,1
83,0.538,0.646,3.0,-7.187,1.0,0.05,0.308,0.0,0.196,0.288,128.045,4.0,1
84,0.357,0.425,5.0,-7.301,1.0,0.0333,0.584,0.0,0.322,0.27,102.078,3.0,1
85,0.536,0.317,6.0,-8.752,1.0,0.0359,0.402,0.0,0.11,0.319,143.89,4.0,1
86,0.616,0.505,4.0,-6.786,1.0,0.0808,0.441,0.00456,0.219,0.671,96.036,4.0,1
87,0.722,0.867,0.0,-3.652,0.0,0.0904,0.121,0.0052,0.123,0.893,102.009,4.0,1
88,0.579,0.596,8.0,-4.823,1.0,0.0561,0.436,0.0938,0.0549,0.443,119.9,3.0,1
89,0.388,0.759,5.0,-5.293,1.0,0.274,0.344,0.0,0.114,0.286,75.085,4.0,1
90,0.537,0.419,11.0,-11.585,1.0,0.0414,0.76,1.07e-05,0.107,0.292,132.261,4.0,1
91,0.389,0.148,3.0,-11.011,1.0,0.03,0.897,0.0,0.114,0.4,142.611,4.0,1
92,0.68,0.578,10.0,-5.804,1.0,0.04,0.331,0.0,0.135,0.341,145.038,4.0,1
93,0.73,0.737,9.0,-3.733,1.0,0.0847,0.355,4.18e-05,0.414,0.76,98.005,4.0,1
94,0.41,0.633,0.0,-6.989,1.0,0.0378,0.513,0.0,0.116,0.344,101.461,4.0,1
95,0.564,0.495,5.0,-7.45,1.0,0.051,0.394,0.0,0.17,0.214,78.925,4.0,1
96,0.651,0.538,3.0,-7.043,1.0,0.0413,0.854,1.42e-06,0.0999,0.467,79.985,4.0,1
97,0.52,0.761,4.0,-3.093,1.0,0.0853,0.256,4.96e-06,0.17,0.286,141.971,4.0,1
98,0.514,0.688,9.0,-4.898,1.0,0.118,0.384,0.0,0.126,0.55,180.11,4.0,1
1,0.404,0.806,2.0,-4.75,1.0,0.0496,0.198,0.0,0.114,0.112,148.036,4.0,1
2,0.689,0.481,10.0,-7.503,1.0,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,4.0,1
3,0.472,0.122,4.0,-15.837,0.0,0.0357,0.578,0.00157,0.12,0.0923,146.43,5.0,1
4,0.582,0.527,3.0,-7.658,1.0,0.0372,0.547,0.0,0.498,0.446,100.926,4.0,1
5,0.555,0.205,4.0,-16.452,1.0,0.0329,0.916,0.056,0.112,0.216,145.004,3.0,1
6,0.638,0.942,5.0,-4.163,0.0,0.0857,0.015,0.0,0.31,0.745,142.896,4.0,1
7,0.668,0.544,8.0,-8.352,0.0,0.0842,0.124,0.0,0.121,0.433,135.691,4.0,1
8,0.753,0.657,7.0,-3.061,1.0,0.0449,0.171,0.0,0.112,0.437,107.01,4.0,1
9,0.528,0.449,5.0,-6.25,0.0,0.025,0.785,0.0,0.122,0.317,94.058,4.0,1
10,0.705,0.422,0.0,-7.375,1.0,0.0299,0.793,0.0,0.0895,0.484,117.949,4.0,1
11,0.649,0.716,8.0,-5.371,1.0,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,4.0,1
12,0.772,0.83,4.0,-3.981,0.0,0.0455,0.0357,0.0,0.0419,0.753,127.999,4.0,1
13,0.544,0.917,1.0,-3.403,0.0,0.259,0.00313,0.0,0.26,0.686,176.068,4.0,1
14,0.516,0.48,8.0,-9.557,1.0,0.0274,0.442,2.33e-06,0.139,0.445,86.982,4.0,1
15,0.656,0.291,2.0,-10.572,1.0,0.0293,0.872,0.0,0.114,0.298,103.971,4.0,1
16,0.51,0.515,5.0,-7.247,1.0,0.0253,0.593,1.24e-06,0.654,0.331,93.212,4.0,1
17,0.581,0.424,8.0,-6.616,1.0,0.0269,0.723,0.0,0.101,0.352,98.936,4.0,1
18,0.714,0.393,5.0,-10.157,1.0,0.0754,0.733,0.00192,0.123,0.72,67.589,4.0,1
19,0.538,0.512,8.0,-7.909,1.0,0.0359,0.494,0.0,0.108,0.567,139.856,4.0,1
20,0.639,0.386,10.0,-8.845,1.0,0.0252,0.822,1.85e-06,0.107,0.158,91.89,4.0,1
21,0.674,0.676,2.0,-6.878,1.0,0.0367,0.43,3.13e-05,0.108,0.919,78.99,4.0,1
22,0.684,0.372,7.0,-10.092,1.0,0.0316,0.472,0.0,0.128,0.429,110.017,4.0,1
23,0.723,0.504,8.0,-5.572,1.0,0.0392,0.388,7.4e-05,0.087,0.551,133.975,4.0,1
24,0.458,0.696,11.0,-4.742,1.0,0.0402,0.285,0.0,0.123,0.418,174.141,4.0,1
25,0.59,0.414,10.0,-12.391,1.0,0.0346,0.781,0.000522,0.146,0.292,82.002,4.0,1
26,0.404,0.43,5.0,-8.313,1.0,0.0336,0.779,0.000172,0.0941,0.51,106.322,5.0,1
27,0.713,0.522,1.0,-9.039,0.0,0.0353,0.218,0.0,0.202,0.599,109.955,4.0,1
28,0.643,0.534,4.0,-5.424,0.0,0.0308,0.144,4.56e-06,0.0859,0.305,90.032,4.0,1
29,0.583,0.748,6.0,-4.798,1.0,0.0292,0.00695,0.0241,0.22,0.254,142.029,4.0,1
30,0.695,0.884,6.0,-2.278,0.0,0.0753,0.0561,0.0,0.213,0.914,103.014,4.0,1
31,0.636,0.701,5.0,-6.825,1.0,0.0363,0.414,0.0,0.106,0.352,113.886,4.0,1
32,0.703,0.66,10.0,-5.119,0.0,0.123,0.137,0.0,0.192,0.79,95.031,4.0,1
33,0.41,0.455,4.0,-8.071,1.0,0.0316,0.731,0.0,0.185,0.361,90.993,4.0,1
34,0.681,0.864,8.0,-4.3,0.0,0.116,0.0208,3.98e-06,0.192,0.479,90.008,4.0,1
35,0.568,0.622,4.0,-6.548,1.0,0.109,0.063,0.0018,0.56,0.109,76.984,4.0,1
36,0.638,0.608,7.0,-7.705,1.0,0.0321,0.0232,0.0623,0.12,0.657,168.032,4.0,1
37,0.412,0.494,6.0,-9.282,1.0,0.0536,0.706,0.0,0.0772,0.496,169.93,4.0,1
38,0.856,0.178,1.0,-15.241,1.0,0.0464,0.748,0.00593,0.0937,0.632,130.089,3.0,1
39,0.788,0.493,5.0,-10.218,1.0,0.107,0.0855,0.00169,0.108,0.115,110.034,4.0,1
40,0.592,0.457,9.0,-6.081,0.0,0.0603,0.661,0.000331,0.146,0.225,146.04,4.0,1
41,0.376,0.643,9.0,-5.713,1.0,0.0411,0.558,0.0,0.217,0.646,136.228,5.0,1
42,0.653,0.304,3.0,-10.449,1.0,0.036,0.897,6.03e-05,0.111,0.243,82.627,3.0,1
43,0.327,0.679,0.0,-4.734,1.0,0.0419,0.744,1.32e-05,0.0794,0.503,79.291,3.0,1
44,0.61,0.508,8.0,-6.682,0.0,0.152,0.297,0.0,0.384,0.758,178.818,4.0,1
45,0.465,0.485,6.0,-7.247,1.0,0.0383,0.509,0.0,0.111,0.488,80.956,4.0,1
46,0.658,0.539,3.0,-7.043,1.0,0.0433,0.857,1.45e-06,0.0999,0.461,80.088,4.0,1
47,0.743,0.837,1.0,-5.025,0.0,0.0649,0.0172,0.0,0.0743,0.263,103.072,4.0,1
48,0.742,0.882,7.0,-2.862,1.0,0.117,0.0466,0.0,0.206,0.463,102.04,4.0,1
49,0.442,0.412,10.0,-10.675,1.0,0.0377,0.781,0.0237,0.15,0.235,176.019,4.0,1
50,0.576,0.42,3.0,-12.428,0.0,0.0414,0.869,0.000359,0.118,0.225,80.003,4.0,1
51,0.533,0.757,7.0,-6.73,0.0,0.0453,0.00733,0.0,0.111,0.358,169.975,4.0,1
52,0.512,0.752,4.0,-4.857,0.0,0.0534,0.305,0.0,0.708,0.428,127.965,4.0,1
53,0.714,0.892,11.0,-5.342,0.0,0.0516,0.00145,0.000817,0.0462,0.899,134.997,4.0,1
